Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit,Product Name
13,CA-2017-114412,4/15/17,4/20/17,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,15.552,3,0.2,5.4432,Xerox 1967
14,CA-2016-161389,12/5/16,12/10/16,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,407.976,3,0.2,132.5922,Fellowes PB200 Plastic Comb Binding Machine
15,US-2015-118983,11/22/15,11/26/15,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,68.81,5,0.8,-123.858,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
16,US-2015-118983,11/22/15,11/26/15,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,2.544,3,0.8,-3.816,Storex DuraTech Recycled Plastic Frosted Binders
17,CA-2014-105893,11/11/14,11/18/14,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,665.88,6,0,13.3176,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
18,CA-2014-167164,5/13/14,5/15/14,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,55.5,2,0,9.99,Fellowes Super Stor/Drawer
19,CA-2014-143336,8/27/14,9/1/14,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,8.56,2,0,2.4824,Newell 341
20,CA-2014-143336,8/27/14,9/1/14,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,213.48,3,0.2,16.011,Cisco SPA 501G IP Phone
21,CA-2014-143336,8/27/14,9/1/14,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,22.72,4,0.2,7.384,"Wilson Jones Hanging View Binder, White, 1"""
22,CA-2016-137330,12/9/16,12/13/16,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,19.46,7,0,5.0596,Newell 318
23,CA-2016-137330,12/9/16,12/13/16,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,60.34,7,0,15.6884,"Acco Six-Outlet Power Strip, 4' Cord Length"
24,US-2017-156909,7/16/17,7/18/17,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,71.372,2,0.3,-1.0196,"Global Deluxe Stacking Chair, Gray"
25,CA-2015-106320,9/25/15,9/30/15,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,1044.63,3,0,240.2649,Bretford CR4500 Series Slim Rectangular Table
26,CA-2016-121755,1/16/16,1/20/16,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,11.648,2,0.2,4.2224,Wilson Jones Active Use Binders
27,CA-2016-121755,1/16/16,1/20/16,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,90.57,3,0,11.7741,Imation8GB Mini TravelDrive USB 2.0Flash Drive
28,US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
29,US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,9.618,2,0.7,-7.0532,Avery Recycled Flexi-View Covers for Binding Systems
30,US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,124.2,3,0.2,15.525,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
31,US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,3.264,2,0.2,1.1016,Poly String Tie Envelopes
32,US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,86.304,6,0.2,9.7092,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
33,US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,6.858,6,0.7,-5.715,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
34,US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,15.76,2,0.2,3.546,Lumber Crayons
35,CA-2017-107727,10/19/17,10/23/17,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,29.472,3,0.2,9.9468,Easy-staple paper
36,CA-2016-117590,12/8/16,12/10/16,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,1097.544,7,0.2,123.4737,GE 30524EE4
37,CA-2016-117590,12/8/16,12/10/16,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,190.92,5,0.6,-147.963,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
38,CA-2015-117415,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,113.328,9,0.2,35.415,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
39,CA-2015-117415,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,532.3992,3,0.32,-46.9764,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
40,CA-2015-117415,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,212.058,3,0.3,-15.147,"Global Fabric Manager's Chair, Dark Gray"
41,CA-2015-117415,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,371.168,4,0.2,41.7564,Plantronics HL10 Handset Lifter
42,CA-2017-120999,9/10/17,9/15/17,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,147.168,4,0.2,16.5564,Panasonic Kx-TS550
43,CA-2016-101343,7/17/16,7/22/16,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,77.88,2,0,3.894,"Eldon Base for stackable storage shelf, platinum"
44,CA-2017-139619,9/19/17,9/23/17,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,95.616,2,0.2,9.5616,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
45,CA-2016-118255,3/11/16,3/13/16,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,45.98,2,0,19.7714,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
46,CA-2016-118255,3/11/16,3/13/16,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,17.46,2,0,8.2062,Wilson Jones Leather-Like Binders with DublLock Round Rings
47,CA-2014-146703,10/20/14,10/25/14,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,211.96,4,0,8.4784,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
48,CA-2016-169194,6/20/16,6/25/16,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,45,3,0,4.95,Imation8gb Micro Traveldrive Usb 2.0Flash Drive
49,CA-2016-169194,6/20/16,6/25/16,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,21.8,2,0,6.104,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
50,CA-2015-115742,4/18/15,4/22/15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,38.22,6,0,17.9634,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
51,CA-2015-115742,4/18/15,4/22/15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,75.18,6,0,35.3346,Avery 485
52,CA-2015-115742,4/18/15,4/22/15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,6.16,2,0,2.9568,Longer-Life Soft White Bulbs
53,CA-2015-115742,4/18/15,4/22/15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,89.99,1,0,17.0981,"Global Leather Task Chair, Black"
54,CA-2016-105816,12/11/16,12/17/16,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,15.26,7,0,6.2566,Advantus Push Pins
55,CA-2016-105816,12/11/16,12/17/16,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,1029.95,5,0,298.6855,AT&T CL83451 4-Handset Telephone
56,CA-2016-111682,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,208.56,6,0,52.14,Home/Office Personal File Carts
57,CA-2016-111682,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,32.4,5,0,15.552,Xerox 232
58,CA-2016-111682,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,319.41,5,0.1,7.098,Novimex Turbo Task Chair
59,CA-2016-111682,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,14.56,2,0,6.9888,"Array Parchment Paper, Assorted Colors"
60,CA-2016-111682,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,30,2,0,3.3,Imation8gb Micro Traveldrive Usb 2.0Flash Drive
61,CA-2016-111682,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,48.48,4,0.2,16.362,Plastic Binding Combs
62,CA-2016-111682,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,1.68,1,0,0.84,Prang Dustless Chalk Sticks
63,CA-2015-135545,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,13.98,2,0,6.1512,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
64,CA-2015-135545,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,25.824,6,0.2,9.3612,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
65,CA-2015-135545,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,146.73,3,0,68.9631,Xerox 1943
66,CA-2015-135545,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,79.76,4,0,22.3328,Luxo Economy Swing Arm Lamp
67,US-2015-164175,4/30/15,5/5/15,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,213.115,5,0.3,-15.2225,"Global Value Mid-Back Manager's Chair, Gray"
68,CA-2014-106376,12/5/14,12/10/14,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,1113.024,8,0.2,111.3024,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
69,CA-2014-106376,12/5/14,12/10/14,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,167.968,4,0.2,62.988,netTALK DUO VoIP Telephone Service
70,CA-2016-119823,6/4/16,6/6/16,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,75.88,2,0,35.6636,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
71,CA-2016-106075,9/18/16,9/23/16,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,4.616,1,0.2,1.731,Avery Binding System Hidden Tab Executive Style Index Sets
72,CA-2017-114440,9/14/17,9/17/17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,19.05,3,0,8.763,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
73,US-2015-134026,4/26/15,5/2/15,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,831.936,8,0.2,-114.3912,High-Back Leather Manager's Chair
74,US-2015-134026,4/26/15,5/2/15,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,97.04,2,0.2,1.213,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
75,US-2015-134026,4/26/15,5/2/15,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,72.784,1,0.2,-18.196,Safco Industrial Wire Shelving System
76,US-2017-118038,12/9/17,12/11/17,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,1.248,3,0.8,-1.9344,Economy Binders
77,US-2017-118038,12/9/17,12/11/17,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,9.708,3,0.6,-5.8248,"6"" Cubicle Wall Clock, Black"
78,US-2017-118038,12/9/17,12/11/17,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,27.24,3,0.2,2.724,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
79,US-2014-147606,11/26/14,12/1/14,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,19.3,5,0.6,-14.475,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
80,CA-2016-127208,6/12/16,6/15/16,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,208.16,1,0,56.2032,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
81,CA-2016-127208,6/12/16,6/15/16,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,16.74,3,0,8.0352,Avery Heavy-Duty EZD  Binder With Locking Rings
82,CA-2014-139451,10/12/14,10/16/14,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,14.9,5,0,4.172,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
83,CA-2014-139451,10/12/14,10/16/14,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,21.39,1,0,6.2031,"Sortfiler Multipurpose Personal File Organizer, Black"
84,CA-2015-149734,9/3/15,9/8/15,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,200.984,7,0.2,62.8075,Jet-Pak Recycled Peel 'N' Seal Padded Mailers
85,US-2017-119662,11/13/17,11/16/17,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,230.376,3,0.2,-48.9549,Safco Industrial Wire Shelving
86,CA-2017-140088,5/28/17,5/30/17,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,301.96,2,0,33.2156,Novimex Swivel Fabric Task Chair
87,CA-2017-155558,10/26/17,11/2/17,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,19.99,1,0,6.7966,LogitechLS21 Speaker System - PC Multimedia - 2.1-CH - Wired
88,CA-2017-155558,10/26/17,11/2/17,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,6.16,2,0,2.9568,Avery 511
89,CA-2016-159695,4/5/16,4/10/16,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,158.368,7,0.2,13.8572,Eldon Portable Mobile Manager
90,CA-2016-109806,9/17/16,9/22/16,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,20.1,3,0,6.633,Turquoise Lead Holder with Pocket Clip
91,CA-2016-109806,9/17/16,9/22/16,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,73.584,2,0.2,8.2782,Panasonic Kx-TS550
92,CA-2016-109806,9/17/16,9/22/16,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,6.48,1,0,3.1104,Xerox 1995
93,CA-2015-149587,1/31/15,2/5/15,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,12.96,2,0,6.2208,Xerox 1999
94,CA-2015-149587,1/31/15,2/5/15,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,53.34,3,0,16.5354,"Seth Thomas 13 1/2"" Wall Clock"
95,CA-2015-149587,1/31/15,2/5/15,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,Binders,32.96,2,0,16.1504,Ibico Standard Transparent Covers
96,US-2017-109484,11/6/17,11/12/17,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,5.682,1,0.7,-3.788,Flexible Leather- Look Classic Collection Ring Binder
97,CA-2017-161018,11/9/17,11/11/17,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,96.53,7,0,40.5426,9-3/4 Diameter Round Wall Clock
98,CA-2017-157833,6/17/17,6/20/17,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,51.312,3,0.2,17.9592,Trimflex Flexible Post Binders
99,CA-2016-149223,9/6/16,9/11/16,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,77.88,6,0,22.5852,Fellowes Basic Home/Office Series Surge Protectors
100,CA-2016-158568,8/29/16,9/2/16,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,Paper,64.624,7,0.2,22.6184,Avery Personal Creations Heavyweight Cards
101,CA-2016-158568,8/29/16,9/2/16,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,Accessories,95.976,3,0.2,-10.7973,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card
102,CA-2016-158568,8/29/16,9/2/16,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,OFF-BI-10002609,Office Supplies,Binders,1.788,3,0.8,-3.0396,Avery Hidden Tab Dividers for Binding Systems
103,CA-2016-129903,12/1/16,12/4/16,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,23.92,4,0,11.7208,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)
104,US-2015-156867,11/13/15,11/17/15,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Accessories,238.896,6,0.2,-26.8758,Logitech K350 2.4Ghz Wireless Keyboard
105,US-2015-156867,11/13/15,11/17/15,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,Furnishings,102.36,3,0.2,-3.8385,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"
106,US-2015-156867,11/13/15,11/17/15,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,OFF-BI-10002794,Office Supplies,Binders,36.882,3,0.7,-25.8174,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"
107,CA-2017-119004,11/23/17,11/28/17,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,74.112,8,0.2,17.6016,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive
108,CA-2017-119004,11/23/17,11/28/17,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-PH-10002844,Technology,Phones,27.992,1,0.2,2.0994,Speck Products Candyshell Flip Case
109,CA-2017-119004,11/23/17,11/28/17,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,OFF-AR-10000390,Office Supplies,Art,3.304,1,0.2,1.0738,Newell Chalk Holder
110,CA-2015-129476,10/15/15,10/20/15,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,TEC-AC-10000844,Technology,Accessories,339.96,5,0.2,67.992,LogitechGaming G510s - Keyboard
